City,longitude,latitude,elevation
Beijing,116.4133837,39.91092455,47
Tianjin,117.2080928,39.0911026,5
Taiyuan,112.5563915,37.87698903,800
Yangquan,113.5876167,37.86236085,809
Changzhi,113.1225589,36.20126837,921
Jincheng,112.8585782,35.49628459,790
Jinan,117.1263994,36.6565542,31
Zibo,118.0614525,36.81908568,40
Jining,116.5936123,35.42017739,38
Dezhou,116.3655567,37.44130845,24
Liaocheng,115.9915878,36.46275819,34
Binzhou,117.977404,37.3881962,10
Heze,115.487545,35.23940742,53
Shijiazhuang,114.5214032,38.04829154,88
Tangshan,118.1864595,39.63658372,15
Langfang,116.6905817,39.54336666,16
Baoding,115.4714638,38.87998777,16
Cangzhou,116.8455808,38.31021514,9
Hengshui,115.6754061,37.74519141,22
Xingtai,114.5114623,37.07668595,72
Handan,114.5456282,36.63126273,92
Zhengzhou,113.6314192,34.75343885,125
Kaifeng,114.3207651,34.80401391,70
Anyang,114.4767338,36.08862382,68
Hebi,114.3035936,35.75235741,180
Xinxiang,113.8115938,35.19656441,73
Jiaozuo,113.2485478,35.22096325,102
Puyang,115.0355841,35.71788889,52
Qinhuangdao,119.5259672,39.8947272,15
Chengde,118.1804557,40.77436719,425
Zhangjiakou,114.8925722,40.7732372,791
Xinzhou,112.7406242,38.42238339,800
Lvliang,111.1504497,37.52449775,1161
Linfen,111.5255302,36.0937419,482
Yuncheng,111.0133895,35.03270691,385
Jinzhong,112.7595948,37.69283941,892
Datong,124.8193768,46.04558395,1052
Luoyang,112.4594213,34.62426278,144
Pingdingshan,113.1995286,33.77205075,135
Xuchang,113.8584755,34.04143161,89
Zhoukou,114.7079827,33.64308358,49
Shangqiu,115.6624493,34.42020167,50
Taian,117.0944948,36.20585804,444
Linyi,118.363533,35.11067124,66
Weifang,119.1683779,36.71265155,22
Dongying,118.5884627,37.45484732,7
Shuozhou,112.4393709,39.33710837,1125
Sanmenxia,111.2065332,34.77832725,502
Zaozhuang,117.3305419,34.81599405,156
Xuzhou,117.2905754,34.21266655,35
Suzhou,116.9705439,33.65209533,27
Luohe,114.0234208,33.58771071,61
Zhumadian,114.0284708,33.01784242,76
Xinyang,114.0974828,32.15301455,101
Nanyang,112.5345013,32.9965622,119
Rizhao,119.5334154,35.422839,31
